year,gameType,team,opponent,wins,losses,ties,total_games,win_pct
1922,Regular,Oregon,Washington,0,0,1,1,0.0
1922,Regular,Oregon,Washington State,1,0,0,1,100.0
1922,Regular,Oregon State,Oregon,0,1,0,1,0.0
1922,Regular,Oregon State,Stanford,0,1,0,1,0.0
1922,Regular,Oregon State,Washington,0,1,0,1,0.0
1922,Regular,Oregon State,Washington State,1,0,0,1,100.0
1922,Regular,Stanford,California (Cal),0,1,0,1,0.0
1922,Regular,Stanford,Oregon State,1,0,0,1,100.0
1922,Regular,Stanford,USC,0,1,0,1,0.0
1922,Regular,Stanford,Washington,0,1,0,1,0.0
1922,Regular,USC,Arizona,1,0,0,1,100.0
1922,Regular,USC,California (Cal),0,1,0,1,0.0
1922,Regular,USC,Stanford,1,0,0,1,100.0
1922,Regular,USC,Washington State,1,0,0,1,100.0
1922,Regular,Utah,Colorado,1,0,0,1,100.0
1922,Regular,Washington,California (Cal),0,1,0,1,0.0
1922,Regular,Washington,Oregon,0,0,1,1,0.0
1922,Regular,Washington,Oregon State,1,0,0,1,100.0
1922,Regular,Washington,Stanford,1,0,0,1,100.0
1922,Regular,Washington,Washington State,1,0,0,1,100.0
1922,Regular,Washington State,California (Cal),0,1,0,1,0.0
1922,Regular,Washington State,Oregon,0,1,0,1,0.0
1922,Regular,Washington State,Oregon State,0,1,0,1,0.0
1922,Regular,Washington State,USC,0,1,0,1,0.0
1922,Regular,Washington State,Washington,0,1,0,1,0.0
1923,Regular,Arizona,USC,0,1,0,1,0.0
1923,Regular,California (Cal),Oregon State,1,0,0,1,100.0
1923,Regular,California (Cal),Stanford,1,0,0,1,100.0
1923,Regular,California (Cal),USC,1,0,0,1,100.0
1923,Regular,California (Cal),Washington,1,0,0,1,100.0
1923,Regular,California (Cal),Washington State,1,0,0,1,100.0
1923,Regular,Colorado,Utah,1,0,0,1,100.0
1923,Regular,Oregon,Oregon State,0,1,0,1,0.0
1923,Regular,Oregon,Stanford,0,1,0,1,0.0
1923,Regular,Oregon,Washington,0,1,0,1,0.0
1923,Regular,Oregon,Washington State,0,1,0,1,0.0
1923,Regular,Oregon State,California (Cal),0,1,0,1,0.0
1923,Regular,Oregon State,Oregon,1,0,0,1,100.0
1923,Regular,Oregon State,Washington,0,1,0,1,0.0
1923,Regular,Oregon State,Washington State,0,0,1,1,0.0
1923,Regular,Stanford,California (Cal),0,1,0,1,0.0
1923,Regular,Stanford,Oregon,1,0,0,1,100.0
1923,Regular,Stanford,USC,0,1,0,1,0.0
1923,Regular,USC,Arizona,1,0,0,1,100.0
1923,Regular,USC,California (Cal),0,1,0,1,0.0
1923,Regular,USC,Stanford,1,0,0,1,100.0
1923,Regular,USC,Washington,0,1,0,1,0.0
1923,Regular,Utah,Colorado,0,1,0,1,0.0
1923,Regular,Washington,California (Cal),0,1,0,1,0.0
1923,Regular,Washington,Oregon,1,0,0,1,100.0
1923,Regular,Washington,Oregon State,1,0,0,1,100.0
1923,Regular,Washington,USC,1,0,0,1,100.0
1923,Regular,Washington,Washington State,1,0,0,1,100.0
1923,Regular,Washington State,California (Cal),0,1,0,1,0.0
1923,Regular,Washington State,Oregon,1,0,0,1,100.0
1923,Regular,Washington State,Oregon State,0,0,1,1,0.0
1923,Regular,Washington State,Washington,0,1,0,1,0.0
1924,Regular,Arizona,USC,0,1,0,1,0.0
1924,Regular,Arizona,Utah,0,1,0,1,0.0
1924,Regular,California (Cal),Stanford,0,0,1,1,0.0
1924,Regular,California (Cal),USC,1,0,0,1,100.0
1924,Regular,California (Cal),Washington,0,0,1,1,0.0
1924,Regular,California (Cal),Washington State,1,0,0,1,100.0
1924,Regular,Colorado,Utah,1,0,0,1,100.0
1924,Regular,Oregon,Oregon State,1,0,0,1,100.0
1924,Regular,Oregon,Stanford,0,1,0,1,0.0
1924,Regular,Oregon,Washington,1,0,0,1,100.0
1924,Regular,Oregon,Washington State,0,0,1,1,0.0
1924,Regular,Oregon State,Oregon,0,1,0,1,0.0
1924,Regular,Oregon State,USC,0,1,0,1,0.0
1924,Regular,Oregon State,Washington,0,1,0,1,0.0
1924,Regular,Oregon State,Washington State,1,0,0,1,100.0
1924,Regular,Stanford,California (Cal),0,0,1,1,0.0
1924,Regular,Stanford,Oregon,1,0,0,1,100.0
1924,Regular,Stanford,Utah,1,0,0,1,100.0
1924,Regular,USC,Arizona,1,0,0,1,100.0
1924,Regular,USC,California (Cal),0,1,0,1,0.0
1924,Regular,USC,Oregon State,1,0,0,1,100.0
1924,Regular,Utah,Arizona,1,0,0,1,100.0
1924,Regular,Utah,Colorado,0,1,0,1,0.0
1924,Regular,Utah,Stanford,0,1,0,1,0.0
1924,Regular,Washington,California (Cal),0,0,1,1,0.0
1924,Regular,Washington,Oregon,0,1,0,1,0.0
1924,Regular,Washington,Oregon State,1,0,0,1,100.0
1924,Regular,Washington,Washington State,1,0,0,1,100.0
1924,Regular,Washington State,California (Cal),0,1,0,1,0.0
1924,Regular,Washington State,Oregon,0,0,1,1,0.0
1924,Regular,Washington State,Oregon State,0,1,0,1,0.0
1924,Regular,Washington State,Washington,0,1,0,1,0.0
1925,Regular,Arizona,USC,0,1,0,1,0.0
1925,Regular,Arizona,Utah,0,1,0,1,0.0
1925,Regular,California (Cal),Oregon,1,0,0,1,100.0
1925,Regular,California (Cal),Stanford,0,1,0,1,0.0
1925,Regular,California (Cal),Washington,0,1,0,1,0.0
1925,Regular,California (Cal),Washington State,1,0,0,1,100.0
1925,Regular,Colorado,Utah,0,1,0,1,0.0
1925,Regular,Oregon,California (Cal),0,1,0,1,0.0
1925,Regular,Oregon,Oregon State,0,1,0,1,0.0
1925,Regular,Oregon,Stanford,0,1,0,1,0.0
1925,Regular,Oregon,Washington,0,1,0,1,0.0
1925,Regular,Oregon State,Oregon,1,0,0,1,100.0
1925,Regular,Oregon State,Stanford,0,1,0,1,0.0
1925,Regular,Oregon State,USC,0,1,0,1,0.0
1925,Regular,Stanford,California (Cal),1,0,0,1,100.0
1925,Regular,Stanford,Oregon,1,0,0,1,100.0
1925,Regular,Stanford,Oregon State,1,0,0,1,100.0
1925,Regular,Stanford,UCLA,1,0,0,1,100.0
1925,Regular,Stanford,USC,1,0,0,1,100.0
1925,Regular,Stanford,Washington,0,1,0,1,0.0
1925,Regular,UCLA,Stanford,0,1,0,1,0.0
1925,Regular,USC,Arizona,1,0,0,1,100.0
1925,Regular,USC,Oregon State,1,0,0,1,100.0
1925,Regular,USC,Stanford,0,1,0,1,0.0
1925,Regular,USC,Utah,1,0,0,1,100.0
1925,Regular,USC,Washington State,0,1,0,1,0.0
1925,Regular,Utah,Arizona,1,0,0,1,100.0
1925,Regular,Utah,Colorado,1,0,0,1,100.0
1925,Regular,Utah,USC,0,1,0,1,0.0
1925,Regular,Washington,California (Cal),1,0,0,1,100.0
1925,Regular,Washington,Oregon,1,0,0,1,100.0
1925,Regular,Washington,Stanford,1,0,0,1,100.0
1925,Regular,Washington,Washington State,1,0,0,1,100.0
1925,Regular,Washington State,California (Cal),0,1,0,1,0.0
1925,Regular,Washington State,USC,1,0,0,1,100.0
1925,Regular,Washington State,Washington,0,1,0,1,0.0
1926,Regular,California (Cal),Oregon,0,1,0,1,0.0
1926,Regular,California (Cal),Oregon State,0,1,0,1,0.0
1926,Regular,California (Cal),Stanford,0,1,0,1,0.0
1926,Regular,California (Cal),USC,0,1,0,1,0.0
1926,Regular,California (Cal),Washington,0,1,0,1,0.0
1926,Regular,Colorado,Utah,0,1,0,1,0.0
1926,Regular,Oregon,California (Cal),1,0,0,1,100.0
1926,Regular,Oregon,Oregon State,0,1,0,1,0.0
1926,Regular,Oregon,Stanford,0,1,0,1,0.0
1926,Regular,Oregon,Washington,0,1,0,1,0.0
1926,Regular,Oregon,Washington State,0,1,0,1,0.0
1926,Regular,Oregon State,California (Cal),1,0,0,1,100.0
1926,Regular,Oregon State,Oregon,1,0,0,1,100.0
1926,Regular,Oregon State,USC,0,1,0,1,0.0
1926,Regular,Stanford,California (Cal),1,0,0,1,100.0
1926,Regular,Stanford,Oregon,1,0,0,1,100.0
1926,Regular,Stanford,USC,1,0,0,1,100.0
1926,Regular,Stanford,Washington,1,0,0,1,100.0
1926,Regular,USC,California (Cal),1,0,0,1,100.0
1926,Regular,USC,Oregon State,1,0,0,1,100.0
1926,Regular,USC,Stanford,0,1,0,1,0.0
1926,Regular,USC,Washington State,1,0,0,1,100.0
1926,Regular,Utah,Colorado,1,0,0,1,100.0
1926,Regular,Washington,California (Cal),1,0,0,1,100.0
1926,Regular,Washington,Oregon,1,0,0,1,100.0
1926,Regular,Washington,Stanford,0,1,0,1,0.0
1926,Regular,Washington,Washington State,0,1,0,1,0.0
1926,Regular,Washington State,Oregon,1,0,0,1,100.0
