year,gameType,team,opponent,wins,losses,ties,total_games,win_pct
1900,Regular,Missouri,Nebraska,0,1,0,1,0.0
1900,Regular,Nebraska,Iowa State,1,0,0,1,100.0
1900,Regular,Nebraska,Kansas,1,0,0,1,100.0
1900,Regular,Nebraska,Minnesota,0,1,0,1,0.0
1900,Regular,Nebraska,Missouri,1,0,0,1,100.0
1900,Regular,Northwestern,Illinois,0,0,1,1,0.0
1900,Regular,Northwestern,Indiana,1,0,0,1,100.0
1900,Regular,Northwestern,Iowa,0,0,1,1,0.0
1900,Regular,Northwestern,Minnesota,0,1,0,1,0.0
1900,Regular,Ohio State,Michigan,0,0,1,1,0.0
1900,Regular,Penn State,Pittsburgh,1,0,0,1,100.0
1900,Regular,Pittsburgh,Penn State,0,1,0,1,0.0
1900,Regular,Purdue,Illinois,0,1,0,1,0.0
1900,Regular,Purdue,Indiana,0,1,0,1,0.0
1900,Regular,Purdue,Michigan,0,1,0,1,0.0
1900,Regular,Wisconsin,Illinois,1,0,0,1,100.0
1900,Regular,Wisconsin,Minnesota,0,1,0,1,0.0
1901,Bowl,Michigan,Stanford,1,0,0,1,100.0
1901,Bowl,Stanford,Michigan,0,1,0,1,0.0
1901,Regular,Illinois,Indiana,1,0,0,1,100.0
1901,Regular,Illinois,Iowa,1,0,0,1,100.0
1901,Regular,Illinois,Minnesota,0,1,0,1,0.0
1901,Regular,Illinois,Northwestern,0,1,0,1,0.0
1901,Regular,Illinois,Purdue,1,0,0,1,100.0
1901,Regular,Indiana,Illinois,0,1,0,1,0.0
1901,Regular,Indiana,Michigan,0,1,0,1,0.0
1901,Regular,Indiana,Ohio State,1,0,0,1,100.0
1901,Regular,Indiana,Purdue,1,0,0,1,100.0
1901,Regular,Iowa,Illinois,0,1,0,1,0.0
1901,Regular,Iowa,Iowa State,1,0,0,1,100.0
1901,Regular,Iowa,Michigan,0,1,0,1,0.0
1901,Regular,Iowa,Minnesota,0,1,0,1,0.0
1901,Regular,Iowa State,Iowa,0,1,0,1,0.0
1901,Regular,Iowa State,Nebraska,0,1,0,1,0.0
1901,Regular,Iowa State,Wisconsin,0,1,0,1,0.0
1901,Regular,Kansas,Missouri,0,1,0,1,0.0
1901,Regular,Kansas,Nebraska,0,1,0,1,0.0
1901,Regular,Kansas,Texas,1,0,0,1,100.0
1901,Regular,Kansas,Wisconsin,0,1,0,1,0.0
1901,Regular,Michigan,Indiana,1,0,0,1,100.0
1901,Regular,Michigan,Iowa,1,0,0,1,100.0
1901,Regular,Michigan,Northwestern,1,0,0,1,100.0
1901,Regular,Michigan,Ohio State,1,0,0,1,100.0
1901,Regular,Minnesota,Illinois,1,0,0,1,100.0
1901,Regular,Minnesota,Iowa,1,0,0,1,100.0
1901,Regular,Minnesota,Nebraska,1,0,0,1,100.0
1901,Regular,Minnesota,Northwestern,1,0,0,1,100.0
1901,Regular,Minnesota,Wisconsin,0,1,0,1,0.0
1901,Regular,Missouri,Kansas,1,0,0,1,100.0
1901,Regular,Missouri,Nebraska,0,1,0,1,0.0
1901,Regular,Missouri,Texas,0,1,0,1,0.0
1901,Regular,Nebraska,Iowa State,1,0,0,1,100.0
1901,Regular,Nebraska,Kansas,1,0,0,1,100.0
1901,Regular,Nebraska,Minnesota,0,1,0,1,0.0
1901,Regular,Nebraska,Missouri,1,0,0,1,100.0
1901,Regular,Nebraska,Wisconsin,0,1,0,1,0.0
1901,Regular,Northwestern,Illinois,1,0,0,1,100.0
1901,Regular,Northwestern,Michigan,0,1,0,1,0.0
1901,Regular,Northwestern,Minnesota,0,1,0,1,0.0
1901,Regular,Northwestern,Purdue,1,0,0,1,100.0
1901,Regular,Ohio State,Indiana,0,1,0,1,0.0
1901,Regular,Ohio State,Michigan,0,1,0,1,0.0
1901,Regular,Penn State,Pittsburgh,1,0,0,1,100.0
1901,Regular,Pittsburgh,Penn State,0,1,0,1,0.0
1901,Regular,Purdue,Illinois,0,1,0,1,0.0
1901,Regular,Purdue,Indiana,0,1,0,1,0.0
1901,Regular,Purdue,Northwestern,0,1,0,1,0.0
1901,Regular,Texas,Kansas,0,1,0,1,0.0
1901,Regular,Texas,Missouri,1,0,0,1,100.0
1901,Regular,Wisconsin,Iowa State,1,0,0,1,100.0
1901,Regular,Wisconsin,Kansas,1,0,0,1,100.0
1901,Regular,Wisconsin,Minnesota,1,0,0,1,100.0
1901,Regular,Wisconsin,Nebraska,1,0,0,1,100.0
1902,Regular,Alabama,Auburn,0,1,0,1,0.0
1902,Regular,Alabama,Georgia,0,1,0,1,0.0
1902,Regular,Alabama,Georgia Tech,1,0,0,1,100.0
1902,Regular,Alabama,LSU,0,1,0,1,0.0
1902,Regular,Alabama,Mississippi State,1,0,0,1,100.0
1902,Regular,Alabama,Texas,0,1,0,1,0.0
1902,Regular,Auburn,Alabama,1,0,0,1,100.0
1902,Regular,Auburn,Clemson,0,1,0,1,0.0
1902,Regular,Auburn,Georgia,0,1,0,1,0.0
1902,Regular,Auburn,Georgia Tech,1,0,0,1,100.0
1902,Regular,Auburn,LSU,0,1,0,1,0.0
1902,Regular,Clemson,Auburn,1,0,0,1,100.0
1902,Regular,Clemson,Georgia,1,0,0,1,100.0
1902,Regular,Clemson,Georgia Tech,1,0,0,1,100.0
1902,Regular,Clemson,NC State,1,0,0,1,100.0
1902,Regular,Clemson,South Carolina,0,1,0,1,0.0
1902,Regular,Clemson,Tennessee,1,0,0,1,100.0
1902,Regular,Colorado,Nebraska,0,1,0,1,0.0
1902,Regular,Georgia,Alabama,1,0,0,1,100.0
1902,Regular,Georgia,Auburn,1,0,0,1,100.0
1902,Regular,Georgia,Clemson,0,1,0,1,0.0
1902,Regular,Georgia,Georgia Tech,0,0,1,1,0.0
1902,Regular,Georgia Tech,Alabama,0,1,0,1,0.0
1902,Regular,Georgia Tech,Auburn,0,1,0,1,0.0
1902,Regular,Georgia Tech,Clemson,0,1,0,1,0.0
1902,Regular,Georgia Tech,Georgia,0,0,1,1,0.0
1902,Regular,Georgia Tech,Tennessee,0,1,0,1,0.0
1902,Regular,Illinois,Indiana,1,0,0,1,100.0
1902,Regular,Illinois,Iowa,1,0,0,1,100.0
1902,Regular,Illinois,Minnesota,0,1,0,1,0.0
1902,Regular,Illinois,Northwestern,1,0,0,1,100.0
1902,Regular,Illinois,Ohio State,0,0,1,1,0.0
1902,Regular,Illinois,Purdue,1,0,0,1,100.0
1902,Regular,Indiana,Illinois,0,1,0,1,0.0
1902,Regular,Indiana,Michigan,0,1,0,1,0.0
1902,Regular,Indiana,Ohio State,0,0,1,1,0.0
1902,Regular,Indiana,Purdue,0,1,0,1,0.0
1902,Regular,Iowa,Illinois,0,1,0,1,0.0
1902,Regular,Iowa,Iowa State,1,0,0,1,100.0
1902,Regular,Iowa,Michigan,0,1,0,1,0.0
1902,Regular,Iowa,Minnesota,0,1,0,1,0.0
1902,Regular,Iowa,Missouri,0,1,0,1,0.0
1902,Regular,Iowa State,Iowa,0,1,0,1,0.0
1902,Regular,Iowa State,Minnesota,0,1,0,1,0.0
1902,Regular,Kansas,Kansas State,1,0,0,1,100.0
1902,Regular,Kansas,Missouri,1,0,0,1,100.0
1902,Regular,Kansas,Nebraska,0,1,0,1,0.0
1902,Regular,Kansas,Wisconsin,0,1,0,1,0.0
1902,Regular,Kansas State,Kansas,0,1,0,1,0.0
1902,Regular,LSU,Alabama,1,0,0,1,100.0
1902,Regular,LSU,Auburn,1,0,0,1,100.0
1902,Regular,LSU,Mississippi State,1,0,0,1,100.0
1902,Regular,LSU,Ole Miss,1,0,0,1,100.0
1902,Regular,LSU,Texas,1,0,0,1,100.0
1902,Regular,LSU,Vanderbilt,0,1,0,1,0.0
1902,Regular,Michigan,Indiana,1,0,0,1,100.0
1902,Regular,Michigan,Iowa,1,0,0,1,100.0
1902,Regular,Michigan,Michigan State,1,0,0,1,100.0
1902,Regular,Michigan,Minnesota,1,0,0,1,100.0
1902,Regular,Michigan,Ohio State,1,0,0,1,100.0
1902,Regular,Michigan,Wisconsin,1,0,0,1,100.0
1902,Regular,Michigan State,Michigan,0,1,0,1,0.0
1902,Regular,Minnesota,Illinois,1,0,0,1,100.0
1902,Regular,Minnesota,Iowa,1,0,0,1,100.0
1902,Regular,Minnesota,Iowa State,1,0,0,1,100.0
