year,gameType,team,opponent,wins,losses,total_games,win_pct
1952,Regular Season,Detroit Pistons,Golden State Warriors,6,2,8,75.0
1952,Regular Season,Detroit Pistons,Los Angeles Lakers,3,5,8,37.5
1952,Regular Season,Detroit Pistons,New York Knicks,5,1,6,83.33
1952,Regular Season,Detroit Pistons,Philadelphia 76ers,0,3,3,0.0
1952,Regular Season,Detroit Pistons,Sacramento Kings,2,5,7,28.57
1952,Regular Season,Golden State Warriors,Atlanta Hawks,4,2,6,66.67
1952,Regular Season,Golden State Warriors,Boston Celtics,2,7,9,22.22
1952,Regular Season,Golden State Warriors,Detroit Pistons,2,6,8,25.0
1952,Regular Season,Golden State Warriors,Los Angeles Lakers,2,3,5,40.0
1952,Regular Season,Golden State Warriors,New York Knicks,1,6,7,14.29
1952,Regular Season,Golden State Warriors,Philadelphia 76ers,3,7,10,30.0
1952,Regular Season,Golden State Warriors,Sacramento Kings,2,4,6,33.33
1952,Regular Season,Los Angeles Lakers,Atlanta Hawks,9,2,11,81.82
1952,Regular Season,Los Angeles Lakers,Boston Celtics,5,2,7,71.43
1952,Regular Season,Los Angeles Lakers,Detroit Pistons,5,3,8,62.5
1952,Regular Season,Los Angeles Lakers,Golden State Warriors,3,2,5,60.0
1952,Regular Season,Los Angeles Lakers,New York Knicks,5,2,7,71.43
1952,Regular Season,Los Angeles Lakers,Philadelphia 76ers,2,4,6,33.33
1952,Regular Season,Los Angeles Lakers,Sacramento Kings,6,4,10,60.0
1952,Regular Season,New York Knicks,Atlanta Hawks,4,1,5,80.0
1952,Regular Season,New York Knicks,Boston Celtics,5,1,6,83.33
1952,Regular Season,New York Knicks,Detroit Pistons,1,5,6,16.67
1952,Regular Season,New York Knicks,Golden State Warriors,6,1,7,85.71
1952,Regular Season,New York Knicks,Los Angeles Lakers,2,5,7,28.57
1952,Regular Season,New York Knicks,Philadelphia 76ers,5,3,8,62.5
1952,Regular Season,New York Knicks,Sacramento Kings,3,3,6,50.0
1952,Regular Season,Philadelphia 76ers,Atlanta Hawks,4,1,5,80.0
1952,Regular Season,Philadelphia 76ers,Boston Celtics,7,7,14,50.0
1952,Regular Season,Philadelphia 76ers,Detroit Pistons,3,0,3,100.0
1952,Regular Season,Philadelphia 76ers,Golden State Warriors,7,3,10,70.0
1952,Regular Season,Philadelphia 76ers,Los Angeles Lakers,4,2,6,66.67
1952,Regular Season,Philadelphia 76ers,New York Knicks,3,5,8,37.5
1952,Regular Season,Philadelphia 76ers,Sacramento Kings,2,4,6,33.33
1952,Regular Season,Sacramento Kings,Atlanta Hawks,8,1,9,88.89
1952,Regular Season,Sacramento Kings,Boston Celtics,3,5,8,37.5
1952,Regular Season,Sacramento Kings,Detroit Pistons,5,2,7,71.43
1952,Regular Season,Sacramento Kings,Golden State Warriors,4,2,6,66.67
1952,Regular Season,Sacramento Kings,Los Angeles Lakers,4,6,10,40.0
1952,Regular Season,Sacramento Kings,New York Knicks,3,3,6,50.0
1952,Regular Season,Sacramento Kings,Philadelphia 76ers,4,2,6,66.67
1952,Playoffs,Boston Celtics,New York Knicks,1,2,3,33.33
1952,Playoffs,Detroit Pistons,Sacramento Kings,0,2,2,0.0
1952,Playoffs,Golden State Warriors,Philadelphia 76ers,1,2,3,33.33
1952,Playoffs,Los Angeles Lakers,New York Knicks,4,3,7,57.14
1952,Playoffs,Los Angeles Lakers,Sacramento Kings,3,1,4,75.0
1952,Playoffs,New York Knicks,Boston Celtics,2,1,3,66.67
1952,Playoffs,New York Knicks,Los Angeles Lakers,3,4,7,42.86
1952,Playoffs,New York Knicks,Philadelphia 76ers,3,1,4,75.0
1952,Playoffs,Philadelphia 76ers,Golden State Warriors,2,1,3,66.67
1952,Playoffs,Philadelphia 76ers,New York Knicks,1,3,4,25.0
1952,Playoffs,Sacramento Kings,Detroit Pistons,2,0,2,100.0
1952,Playoffs,Sacramento Kings,Los Angeles Lakers,1,3,4,25.0
1953,Regular Season,Atlanta Hawks,Boston Celtics,1,6,7,14.29
1953,Regular Season,Atlanta Hawks,Detroit Pistons,3,7,10,30.0
1953,Regular Season,Atlanta Hawks,Golden State Warriors,5,2,7,71.43
1953,Regular Season,Atlanta Hawks,Los Angeles Lakers,3,7,10,30.0
1953,Regular Season,Atlanta Hawks,New York Knicks,2,5,7,28.57
1953,Regular Season,Atlanta Hawks,Philadelphia 76ers,2,6,8,25.0
1953,Regular Season,Atlanta Hawks,Sacramento Kings,2,6,8,25.0
1953,Regular Season,Boston Celtics,Atlanta Hawks,6,1,7,85.71
1953,Regular Season,Boston Celtics,Detroit Pistons,5,5,10,50.0
1953,Regular Season,Boston Celtics,Golden State Warriors,7,3,10,70.0
1953,Regular Season,Boston Celtics,Los Angeles Lakers,1,4,5,20.0
1953,Regular Season,Boston Celtics,New York Knicks,9,3,12,75.0
1953,Regular Season,Boston Celtics,Philadelphia 76ers,3,7,10,30.0
1953,Regular Season,Boston Celtics,Sacramento Kings,3,4,7,42.86
1953,Regular Season,Detroit Pistons,Atlanta Hawks,7,3,10,70.0
1953,Regular Season,Detroit Pistons,Boston Celtics,5,5,10,50.0
1953,Regular Season,Detroit Pistons,Golden State Warriors,3,1,4,75.0
1953,Regular Season,Detroit Pistons,Los Angeles Lakers,3,9,12,25.0
1953,Regular Season,Detroit Pistons,New York Knicks,2,4,6,33.33
1953,Regular Season,Detroit Pistons,Philadelphia 76ers,3,5,8,37.5
1953,Regular Season,Detroit Pistons,Sacramento Kings,5,6,11,45.45
1953,Regular Season,Golden State Warriors,Atlanta Hawks,2,5,7,28.57
1953,Regular Season,Golden State Warriors,Boston Celtics,3,7,10,30.0
1953,Regular Season,Golden State Warriors,Detroit Pistons,1,3,4,25.0
1953,Regular Season,Golden State Warriors,Los Angeles Lakers,0,6,6,0.0
1953,Regular Season,Golden State Warriors,New York Knicks,1,10,11,9.09
1953,Regular Season,Golden State Warriors,Philadelphia 76ers,2,6,8,25.0
1953,Regular Season,Golden State Warriors,Sacramento Kings,2,4,6,33.33
1953,Regular Season,Los Angeles Lakers,Atlanta Hawks,7,3,10,70.0
1953,Regular Season,Los Angeles Lakers,Boston Celtics,4,1,5,80.0
1953,Regular Season,Los Angeles Lakers,Detroit Pistons,9,3,12,75.0
1953,Regular Season,Los Angeles Lakers,Golden State Warriors,6,0,6,100.0
1953,Regular Season,Los Angeles Lakers,New York Knicks,4,3,7,57.14
1953,Regular Season,Los Angeles Lakers,Philadelphia 76ers,4,4,8,50.0
1953,Regular Season,Los Angeles Lakers,Sacramento Kings,5,6,11,45.45
1953,Regular Season,New York Knicks,Atlanta Hawks,5,2,7,71.43
1953,Regular Season,New York Knicks,Boston Celtics,3,9,12,25.0
1953,Regular Season,New York Knicks,Detroit Pistons,4,2,6,66.67
1953,Regular Season,New York Knicks,Golden State Warriors,10,1,11,90.91
1953,Regular Season,New York Knicks,Los Angeles Lakers,3,4,7,42.86
1953,Regular Season,New York Knicks,Philadelphia 76ers,7,3,10,70.0
1953,Regular Season,New York Knicks,Sacramento Kings,5,1,6,83.33
1953,Regular Season,Philadelphia 76ers,Atlanta Hawks,6,2,8,75.0
1953,Regular Season,Philadelphia 76ers,Boston Celtics,7,3,10,70.0
1953,Regular Season,Philadelphia 76ers,Detroit Pistons,5,3,8,62.5
1953,Regular Season,Philadelphia 76ers,Golden State Warriors,6,2,8,75.0
1953,Regular Season,Philadelphia 76ers,Los Angeles Lakers,4,4,8,50.0
1953,Regular Season,Philadelphia 76ers,New York Knicks,3,7,10,30.0
1953,Regular Season,Philadelphia 76ers,Sacramento Kings,6,2,8,75.0
1953,Regular Season,Sacramento Kings,Atlanta Hawks,6,2,8,75.0
1953,Regular Season,Sacramento Kings,Boston Celtics,4,3,7,57.14
1953,Regular Season,Sacramento Kings,Detroit Pistons,6,5,11,54.55
1953,Regular Season,Sacramento Kings,Golden State Warriors,4,2,6,66.67
1953,Regular Season,Sacramento Kings,Los Angeles Lakers,6,5,11,54.55
1953,Regular Season,Sacramento Kings,New York Knicks,1,5,6,16.67
1953,Regular Season,Sacramento Kings,Philadelphia 76ers,2,6,8,25.0
1953,Playoffs,Boston Celtics,New York Knicks,1,3,4,25.0
1953,Playoffs,Boston Celtics,Philadelphia 76ers,2,0,2,100.0
1953,Playoffs,Detroit Pistons,Los Angeles Lakers,2,3,5,40.0
1953,Playoffs,Detroit Pistons,Sacramento Kings,2,1,3,66.67
1953,Playoffs,Los Angeles Lakers,Detroit Pistons,3,2,5,60.0
1953,Playoffs,Los Angeles Lakers,New York Knicks,4,1,5,80.0
1953,Playoffs,New York Knicks,Boston Celtics,3,1,4,75.0
1953,Playoffs,New York Knicks,Los Angeles Lakers,1,4,5,20.0
1953,Playoffs,Philadelphia 76ers,Boston Celtics,0,2,2,0.0
1953,Playoffs,Sacramento Kings,Detroit Pistons,1,2,3,33.33
1954,Regular Season,Atlanta Hawks,Boston Celtics,2,7,9,22.22
1954,Regular Season,Atlanta Hawks,Detroit Pistons,1,11,12,8.33
1954,Regular Season,Atlanta Hawks,Golden State Warriors,1,5,6,16.67
1954,Regular Season,Atlanta Hawks,Los Angeles Lakers,4,7,11,36.36
1954,Regular Season,Atlanta Hawks,New York Knicks,3,6,9,33.33
1954,Regular Season,Atlanta Hawks,Philadelphia 76ers,2,4,6,33.33
