year,date,team_a,team_b,score_a,score_b,venue,notes
2012,10/27,Boston College,Maryland,20,17,,
2012,11/3,Boston College,Wake Forest,14,28,,
2012,11/10,Boston College,Notre Dame,6,21,,
2012,11/17,Boston College,Virginia Tech,23,30,,
2012,11/24,Boston College,North Carolina State,10,27,,
2011,9/3,Boston College,Northwestern,17,24,,
2011,9/10,Boston College,Central Florida,3,30,,
2011,9/17,Boston College,Duke,19,20,,
2011,9/24,Boston College,Massachusetts,45,17,,
2011,10/1,Boston College,Wake Forest,19,27,,
2011,10/8,Boston College,Clemson,14,36,,
2011,10/22,Boston College,Virginia Tech,14,30,,
2011,10/29,Boston College,Maryland,28,17,,
2011,11/3,Boston College,Florida State,7,38,,
2011,11/12,Boston College,North Carolina State,14,10,,
2011,11/19,Boston College,Notre Dame,14,16,,
2011,11/25,Boston College,Miami (Florida),24,17,,
2010,9/4,Boston College,Weber State,38,20,,
2010,9/11,Boston College,Kent State,26,13,,
2010,9/25,Boston College,Virginia Tech,0,19,,
2010,10/2,Boston College,Notre Dame,13,31,,
2010,10/9,Boston College,North Carolina State,17,44,,
2010,10/16,Boston College,Florida State,19,24,,
2010,10/23,Boston College,Maryland,21,24,,
2010,10/30,Boston College,Clemson,16,10,,
2010,11/6,Boston College,Wake Forest,23,13,,
2010,11/13,Boston College,Duke,21,16,,
2010,11/20,Boston College,Virginia,17,13,,
2010,11/27,Boston College,Syracuse,16,7,,
2010,1/9,Boston College,Nevada,13,20,"@ San Francisco, CA",Fight Hunger Bowl
2009,9/5,Boston College,Northeastern,54,0,,
2009,9/12,Boston College,Kent State,34,7,,
2009,9/19,Boston College,Clemson,7,25,,
2009,9/26,Boston College,Wake Forest,27,24,,
2009,10/3,Boston College,Florida State,28,21,,
2009,10/10,Boston College,Virginia Tech,14,48,,
2009,10/17,Boston College,North Carolina State,52,20,,
2009,10/24,Boston College,Notre Dame,16,20,,
2009,10/31,Boston College,Central Michigan,31,10,,
2009,11/14,Boston College,Virginia,14,10,,
2009,11/21,Boston College,North Carolina,13,31,,
2009,11/28,Boston College,Maryland,19,17,,
2009,12/26,Boston College,Southern California,13,24,"@ San Francisco, CA",Emerald Bowl
2008,8/30,Boston College,Kent State,21,0,"@ Cleveland, OH",
2008,9/6,Boston College,Georgia Tech,16,19,,
2008,9/20,Boston College,Central Florida,34,7,,
2008,9/27,Boston College,Rhode Island,42,0,,
2008,10/4,Boston College,North Carolina State,38,31,,
2008,10/18,Boston College,Virginia Tech,28,23,,
2008,10/25,Boston College,North Carolina,24,45,,
2008,11/1,Boston College,Clemson,21,27,,
2008,11/8,Boston College,Notre Dame,17,0,,
2008,11/15,Boston College,Florida State,27,17,,
2008,11/22,Boston College,Wake Forest,24,21,,
2008,11/29,Boston College,Maryland,28,21,,
2008,12/6,Boston College,Virginia Tech,12,30,"@ Tampa, FL",ACC Championship
2008,12/31,Boston College,Vanderbilt,14,16,"@ Nashville, TN",Music City Bowl
2007,9/1,Boston College,Wake Forest,38,28,,
2007,9/8,Boston College,North Carolina State,37,17,,
2007,9/15,Boston College,Georgia Tech,24,10,,
2007,9/22,Army,Boston College,17,37,,
2007,9/29,Boston College,Massachusetts,24,14,,
2007,10/6,Boston College,Bowling Green,55,24,,
2007,10/13,Boston College,Notre Dame,27,14,,
2007,10/25,Boston College,Virginia Tech,14,10,,
2007,11/3,Boston College,Florida State,17,27,,
2007,11/10,Boston College,Maryland,35,42,,
2007,11/17,Boston College,Clemson,20,17,,
2007,11/24,Boston College,Miami (Florida),28,14,,
2007,12/1,Boston College,Virginia Tech,16,30,"@ Jacksonville, FL",ACC Championship
2007,12/28,Boston College,Michigan State,24,21,"@ Orlando, FL",Champs Sports Bowl
2006,8/31,Boston College,Central Michigan,31,24,,
2006,9/9,Boston College,Clemson,34,33,,
2006,9/16,Boston College,Brigham Young,30,23,,
2006,9/23,Boston College,North Carolina State,15,17,,
2006,9/30,Boston College,Maine,22,0,,
2006,10/12,Boston College,Virginia Tech,22,3,,
2006,10/21,Boston College,Florida State,24,19,,
2006,10/28,Boston College,Buffalo,41,0,,
2006,11/4,Boston College,Wake Forest,14,21,,
2006,11/11,Boston College,Duke,28,7,,
2006,11/18,Boston College,Maryland,38,16,,
2006,11/23,Boston College,Miami (Florida),14,17,,
2006,12/30,Boston College,Navy,25,24,"@ Charlotte, NC",Meineke Car Care Bowl
2005,9/3,Boston College,Brigham Young,20,3,,
2005,9/10,Army,Boston College,7,44,,
2005,9/17,Boston College,Florida State,17,28,,
2005,9/24,Boston College,Clemson,16,13,,
2005,10/1,Ball State,Boston College,0,38,,
2005,10/8,Boston College,Virginia,28,17,,
2005,10/15,Boston College,Wake Forest,35,30,,
2005,10/27,Boston College,Virginia Tech,10,30,,
2005,11/5,Boston College,North Carolina,14,16,,
2005,11/12,Boston College,North Carolina State,30,10,,
2005,11/19,Boston College,Maryland,31,16,,
2005,12/28,Boise State,Boston College,21,27,"@ Boise, ID",MPC Computers Bowl
2004,9/2,Ball State,Boston College,11,19,,
2004,9/11,Boston College,Penn State,21,7,,
2004,9/17,Boston College,Connecticut,27,7,,
2004,9/25,Boston College,Wake Forest,14,17,,
2004,10/2,Boston College,Massachusetts,29,7,,
2004,10/16,Boston College,Pittsburgh,17,20,,
2004,10/23,Boston College,Notre Dame,24,23,,
2004,11/6,Boston College,Rutgers,21,10,,
2004,11/13,Boston College,West Virginia,36,17,,
2004,11/20,Boston College,Temple,34,17,,
2004,11/27,Boston College,Syracuse,17,43,,
2004,12/30,Boston College,North Carolina,37,24,"@ Charlotte, NC",Continental Tire Bowl
2003,8/30,Boston College,Wake Forest,28,32,,
2003,9/6,Boston College,Penn State,27,14,,
2003,9/13,Boston College,Connecticut,24,14,,
2003,9/20,Boston College,Miami (Florida),14,33,,
2003,9/27,Ball State,Boston College,29,53,,
2003,10/11,Boston College,Temple,38,13,,
2003,10/18,Boston College,Syracuse,14,39,,
2003,10/25,Boston College,Notre Dame,27,25,,
2003,11/1,Boston College,Pittsburgh,13,24,,
2003,11/8,Boston College,West Virginia,28,35,,
2003,11/15,Boston College,Rutgers,35,25,,
2003,11/22,Boston College,Virginia Tech,34,27,,
2003,12/31,Boston College,Colorado State,35,21,"@ San Francisco, CA",San Francisco Bowl
2002,8/31,Boston College,Connecticut,24,16,,
2002,9/7,Boston College,Stanford,34,27,,
2002,9/21,Boston College,Miami (Florida),6,38,,
2002,9/28,Boston College,Central Michigan,43,0,,
2002,10/10,Boston College,Virginia Tech,23,28,,
2002,10/19,Boston College,Navy,46,21,,
2002,10/26,Boston College,Pittsburgh,16,19,,
2002,11/2,Boston College,Notre Dame,14,7,,
2002,11/9,Boston College,West Virginia,14,24,,
2002,11/16,Boston College,Syracuse,41,20,,
2002,11/23,Boston College,Temple,36,14,,
2002,11/30,Boston College,Rutgers,44,14,,
2002,12/26,Boston College,Toledo,51,25,"@ Detroit, MI",Motor City Bowl
2001,9/1,Boston College,West Virginia,34,10,,
2001,9/8,Boston College,Stanford,22,38,,
2001,9/22,Boston College,Navy,38,21,,
2001,9/29,Army,Boston College,10,31,,
2001,10/6,Boston College,Temple,33,10,,
2001,10/13,Boston College,Virginia Tech,20,34,,
2001,10/20,Boston College,Pittsburgh,45,7,,
2001,10/27,Boston College,Notre Dame,21,17,,
2001,11/10,Boston College,Miami (Florida),7,18,,
2001,11/17,Boston College,Rutgers,38,7,,
2001,11/24,Boston College,Syracuse,28,39,,
2001,12/28,Boston College,Georgia,20,16,"@ Nashville, TN",Music City Bowl
2000,9/2,Boston College,West Virginia,14,34,,
2000,9/9,Army,Boston College,17,55,,
2000,9/23,Boston College,Navy,48,7,,
2000,9/30,Boston College,Virginia Tech,34,48,,
2000,10/7,Boston College,Connecticut,55,3,,
2000,10/14,Boston College,Syracuse,20,13,,
2000,10/21,Boston College,Pittsburgh,26,42,,
2000,10/28,Boston College,Rutgers,42,13,,
2000,11/4,Boston College,Temple,31,3,,
2000,11/11,Boston College,Notre Dame,16,28,,
2000,11/25,Boston College,Miami (Florida),6,52,,
2000,12/25,Arizona State,Boston College,17,31,"@ Honolulu, HI",Aloha Classic
1999,9/4,Baylor,Boston College,29,30,,
1999,9/18,Boston College,Navy,14,10,,
1999,9/25,Boston College,Rutgers,27,7,,
1999,10/2,Boston College,Northeastern,33,22,,
1999,10/9,Boston College,Temple,14,24,,
1999,10/16,Boston College,Pittsburgh,20,16,,
1999,10/23,Boston College,Miami (Florida),28,31,,
1999,10/30,Boston College,Syracuse,24,23,,
1999,11/13,Boston College,West Virginia,34,17,,
1999,11/20,Boston College,Notre Dame,31,29,,
1999,11/26,Boston College,Virginia Tech,14,38,,
1999,12/31,Boston College,Colorado,28,62,"@ Tucson, AZ",Insight Bowl
1998,9/5,Boston College,Georgia Tech,41,31,,
1998,9/12,Boston College,Rutgers,41,14,,
1998,9/19,Boston College,Temple,31,7,,
1998,9/26,Boston College,Louisville,28,52,,
1998,10/8,Boston College,Virginia Tech,0,17,,
1998,10/17,Boston College,Syracuse,25,42,,
1998,10/24,Boston College,Navy,31,32,,
1998,10/31,Boston College,Miami (Florida),17,35,,
1998,11/7,Boston College,Notre Dame,26,31,,
1998,11/14,Boston College,Pittsburgh,23,15,,
1998,11/21,Boston College,West Virginia,10,35,,
1997,9/6,Boston College,Temple,21,28,,
1997,9/13,Boston College,West Virginia,31,24,,
1997,9/20,Boston College,Rutgers,35,21,,
1997,9/27,Boston College,Cincinnati,6,24,,
1997,10/4,Boston College,Georgia Tech,14,42,,
1997,10/11,Boston College,Virginia Tech,7,17,,
1997,10/18,Boston College,Miami (Florida),44,45,,
